ms_played,frequency,release_date,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,popularity
177000,13.0,2017,0.000282,0.908,0.621,1.0,5.39e-05,0.0958,-6.638,0.0,0.102,0.421,150.011,4.0,83.0
169726,11.0,2016,0.271,0.841,0.898,8.0,0.0151,0.304,-7.135,1.0,0.104,0.931,98.401,4.0,64.0
87260,41.0,2020,0.66,0.546,0.73,0.0,0.179,0.0972,-7.704,1.0,0.0417,0.573,157.895,4.0,66.0
141805,27.0,2021,0.0383,0.591,0.764,1.0,0.0,0.103,-5.484,1.0,0.0483,0.478,169.928,4.0,89.0
287733,3.0,2016,0.173,0.685,0.545,7.0,1.44e-05,0.237,-6.189,1.0,0.061,0.506,94.061,4.0,60.0
160760,14.0,2016,0.0459,0.732,0.789,5.0,3.11e-05,0.123,-3.717,0.0,0.0476,0.607,107.978,4.0,56.0
137777,4.0,2020,0.0311,0.514,0.659,7.0,0.0,0.131,-5.509,1.0,0.0379,0.619,116.996,3.0,36.0
214572,22.0,2021,0.108,0.331,0.438,3.0,0.000129,0.144,-6.671,1.0,0.0338,0.0641,144.185,4.0,59.0
201786,11.0,2021,0.0837,0.668,0.856,1.0,0.0446,0.096,-6.386,0.0,0.0453,0.737,79.008,4.0,64.0
207853,27.0,2021,0.281,0.788,0.859,2.0,0.0,0.0424,-2.724,1.0,0.0856,0.822,141.02,4.0,78.0
77390,3.0,2021,0.0297,0.776,0.808,11.0,0.000127,0.103,-4.501,1.0,0.117,0.494,123.988,4.0,82.0
238826,22.0,2017,0.0076,0.703,0.628,5.0,0.0,0.471,-6.349,0.0,0.0284,0.425,103.983,4.0,48.0
164441,57.0,2022,0.00323,0.759,0.459,8.0,0.0,0.0788,-5.187,1.0,0.0948,0.695,109.997,4.0,83.0
178426,60.0,2019,0.117,0.552,0.702,9.0,2.06e-05,0.105,-5.707,1.0,0.157,0.564,169.994,4.0,85.0
229773,14.0,2019,0.0933,0.645,0.862,11.0,0.0,0.193,-4.761,0.0,0.0845,0.803,119.947,4.0,79.0
50782,7.0,2019,0.179,0.661,0.723,5.0,1.23e-05,0.14,-6.976,0.0,0.0566,0.316,113.778,4.0,75.0
258004,65.0,2020,0.00173,0.659,0.667,11.0,2.85e-05,0.1,-4.668,0.0,0.0339,0.468,115.982,4.0,76.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
58088,13.0,2021,0.235,0.762,0.701,8.0,0.000158,0.123,-3.541,1.0,0.0286,0.742,110.968,4.0,82.0
199007,22.0,2020,0.019,0.681,0.773,5.0,1.28e-06,0.11,-5.749,1.0,0.148,0.429,119.961,4.0,67.0
141805,27.0,2021,0.0383,0.591,0.764,1.0,0.0,0.103,-5.484,1.0,0.0483,0.478,169.928,4.0,89.0
86800,71.0,2021,0.037,0.708,0.598,5.0,0.0,0.17,-8.365,1.0,0.0291,0.698,112.027,4.0,73.0
221042,71.0,2021,0.037,0.708,0.598,5.0,0.0,0.17,-8.365,1.0,0.0291,0.698,112.027,4.0,73.0
141805,27.0,2021,0.0383,0.591,0.764,1.0,0.0,0.103,-5.484,1.0,0.0483,0.478,169.928,4.0,89.0
214573,16.0,2012,0.0562,0.694,0.891,9.0,0.0,0.561,-2.94,1.0,0.0949,0.563,97.939,4.0,66.0
226160,3.0,2016,0.0528,0.65,0.736,6.0,0.0,0.235,-5.84,0.0,0.229,0.613,159.173,4.0,68.0
175066,29.0,2020,0.0201,0.637,0.785,9.0,0.0,0.333,-3.382,0.0,0.0512,0.923,144.053,4.0,57.0
236453,6.0,2016,0.00166,0.655,0.693,5.0,0.0,0.0398,-5.148,0.0,0.0372,0.868,102.028,4.0,55.0
57398,27.0,2021,0.429,0.875,0.649,6.0,0.00237,0.0704,-5.754,1.0,0.0433,0.833,140.031,4.0,73.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
210560,7.0,2021,0.304,0.664,0.609,1.0,0.0,0.0926,-6.509,1.0,0.0707,0.194,130.041,4.0,84.0
195873,60.0,2010,0.0135,0.794,0.766,9.0,0.0,0.0785,-3.894,0.0,0.0377,0.55,127.007,4.0,82.0
253346,37.0,2016,0.308,0.529,0.894,2.0,5.38e-06,0.254,-3.599,1.0,0.0412,0.543,108.024,4.0,67.0
213546,65.0,2020,0.00173,0.659,0.667,11.0,2.85e-05,0.1,-4.668,0.0,0.0339,0.468,115.982,4.0,76.0
163216,3.0,2017,0.0476,0.752,0.764,1.0,9.44e-05,0.0543,-4.399,1.0,0.038,0.582,121.958,4.0,75.0
244960,5.0,2016,0.414,0.748,0.524,8.0,0.0,0.111,-5.599,1.0,0.0338,0.661,95.01,4.0,84.0
204052,10.0,2011,0.0234,0.786,0.696,9.0,0.0019,0.0839,-5.796,0.0,0.0428,0.306,121.974,4.0,72.0
204160,6.0,2012,0.0295,0.581,0.963,11.0,0.0,0.139,-4.087,1.0,0.0981,0.788,129.992,4.0,81.0
199389,3.0,2010,0.0338,0.663,0.861,7.0,0.0,0.082,-3.398,0.0,0.109,0.654,119.963,4.0,79.0
203064,15.0,2020,0.00883,0.702,0.825,6.0,0.0,0.0674,-3.787,0.0,0.0601,0.915,102.977,4.0,78.0
218093,4.0,2005,0.284,0.778,0.824,10.0,0.0,0.405,-5.892,0.0,0.0707,0.758,100.024,4.0,84.0
93170,100.0,2020,0.44,0.761,0.525,11.0,6.7e-06,0.0921,-6.9,1.0,0.0944,0.531,80.87,4.0,84.0
168066,100.0,2020,0.44,0.761,0.525,11.0,6.7e-06,0.0921,-6.9,1.0,0.0944,0.531,80.87,4.0,84.0
217036,32.0,2015,0.00711,0.506,0.805,1.0,0.00193,0.0856,-4.119,1.0,0.0469,0.383,126.008,4.0,75.0
52802,28.0,2018,0.181,0.721,0.707,6.0,3.68e-06,0.143,-6.364,1.0,0.0595,0.743,125.005,4.0,78.0
98522,3.0,2012,0.000652,0.712,0.649,1.0,0.0,0.0683,-4.753,1.0,0.063,0.616,127.028,4.0,61.0
68591,11.0,2016,0.199,0.631,0.927,9.0,0.119,0.148,-2.787,0.0,0.0332,0.465,123.962,4.0,81.0
83731,3.0,2011,0.135,0.747,0.716,11.0,0.0,0.251,-2.457,0.0,0.075,0.751,125.008,4.0,74.0
139853,11.0,1975,0.0588,0.737,0.495,1.0,9.12e-06,0.0542,-13.489,1.0,0.027,0.967,104.409,4.0,74.0
97175,8.0,2010,0.0162,0.719,0.798,10.0,2.34e-06,0.134,-4.582,1.0,0.0361,0.591,120.011,4.0,72.0
194234,3.0,2009,0.0192,0.839,0.804,1.0,0.0,0.331,-2.513,1.0,0.0329,0.888,122.973,4.0,72.0
